#Nom_Attaque puissance amelioration_att amelioration_def baisse_att baisse_def
Ca 100 0 0 0 0
Folie 0 200 0 0 100
Doute 0 50 50 0 0
Idee 0 100 50 0 0
Connaissances 0 100 50 0 0
Oubli 200 0 0 50 50
Destruction 300 0 0 200 200
Communisme 0 500 500 0 0
Charge 100 0 0 0 0
Trempette 0 0 0 0 0
Tir 100 0 0 0 0
Lance-Flamme 100 0 0 0 0
Je 100 50 50 0 0
Inconscience 0 200 200 0 0
Retour-nature 0 150 150 0 0
Blabla-dodo 100 50 50 0 0
Pistolet-a-eau 100 0 0 0 0
Raison 0 1000 1000 0 0
Coup-de-fouet 100 0 0 0 0
Nul 0 0 0 10 10
Wide 100 100 0 0 0
Elections 0 100 100 0 0
AlwaysHasBeen 200 10 10 0 0
Wait 0 200 200 0 0
Shoot 100 0 0 0 0
0-Gravity 100 0 0 0 0
